iter	Passed	Remaining
1354	56486	26888
1355	56527	26846
1356	56565	26803
1357	56605	26760
1358	56645	26717
1359	56684	26675
1360	56725	26632
1361	56766	26591
1362	56808	26549
1363	56848	26507
1364	56891	26465
1365	56930	26423
1366	56971	26380
1367	57010	26338
1368	57049	26295
1369	57090	26253
1370	57129	26210
1371	57168	26167
1372	57208	26124
1373	57246	26081
1374	57286	26039
1375	57327	25997
1376	57368	25955
1377	57407	25912
1378	57447	25870
1379	57487	25827
1380	57530	25786
1381	57570	25744
1382	57609	25701
1383	57648	25658
1384	57688	25616
1385	57729	25574
1386	57768	25531
1387	57808	25488
1388	57855	25449
1389	57901	25410
1390	57945	25369
1391	57984	25326
1392	58024	25284
1393	58063	25241
1394	58102	25198
1395	58143	25156
1396	58182	25113
1397	58223	25071
1398	58263	25029
1399	58311	24990
1400	58351	24948
1401	58392	24906
1402	58432	24863
1403	58471	24821
1404	58511	24778
1405	58551	24736
1406	58590	24693
1407	58632	24652
1408	58672	24609
1409	58711	24567
1410	58751	24524
1411	58793	24483
1412	58835	24441
1413	58885	24403
1414	58929	24362
1415	58984	24326
1416	59024	24284
1417	59077	24247
1418	59116	24204
1419	59155	24162
1420	59195	24119
1421	59235	24077
1422	59288	24040
1423	59327	23997
1424	59368	23955
1425	59408	23913
1426	59465	23877
1427	59514	23839
1428	59555	23797
1429	59595	23754
1430	59633	23711
1431	59674	23669
1432	59715	23627
1433	59757	23586
1434	59798	23544
1435	59837	23501
1436	59875	23458
1437	59916	23416
1438	59958	23374
1439	60010	23337
1440	60075	23304
1441	60118	23263
1442	60162	23222
1443	60203	23180
1444	60245	23139
1445	60283	23096
1446	60327	23055
1447	60366	23012
1448	60406	22970
1449	60445	22927
1450	60484	22884
1451	60524	22842
1452	60565	22800
1453	60606	22758
1454	60647	22716
1455	60687	22674
1456	60729	22632
1457	60770	22591
1458	60811	22549
1459	60850	22506
1460	60891	22464
1461	60932	22422
1462	60973	22380
1463	61016	22339
1464	61060	22298
1465	61106	22258
1466	61145	22215
1467	61183	22172
1468	61226	22131
1469	61267	22089
1470	61307	22047
1471	61346	22004
1472	61385	21962
1473	61426	21920
1474	61465	21877
1475	61505	21835
1476	61545	21792
1477	61584	21750
1478	61624	21708
1479	61663	21665
1480	61702	21623
1481	61741	21580
1482	61781	21537
1483	61821	21495
1484	61859	21453
1485	61901	21411
1486	61941	21369
1487	61982	21327
1488	62022	21285
1489	62064	21243
1490	62105	21201
1491	62144	21159
1492	62183	21116
1493	62223	21074
1494	62262	21031
1495	62308	20991
1496	62345	20948
1497	62384	20905
1498	62424	20863
1499	62466	20822
1500	62509	20781
1501	62551	20739
1502	62591	20697
1503	62631	20654
1504	62670	20612
1505	62711	20570
1506	62751	20528
1507	62791	20486
1508	62833	20444
1509	62875	20403
1510	62917	20361
1511	62956	20319
1512	62996	20277
1513	63036	20234
1514	63080	20194
1515	63121	20152
1516	63164	20111
1517	63205	20069
1518	63246	20027
1519	63286	19985
1520	63325	19942
1521	63365	19900
1522	63405	19858
1523	63446	19816
1524	63487	19774
1525	63527	19732
1526	63568	19690
1527	63615	19650
1528	63664	19611
1529	63705	19569
1530	63745	19527
1531	63785	19485
1532	63826	19443
1533	63867	19401
1534	63912	19361
1535	63949	19318
1536	63989	19275
1537	64035	19235
1538	64074	19193
1539	64114	19151
1540	64154	19109
1541	64194	19066
1542	64248	19028
1543	64288	18986
1544	64328	18944
1545	64368	18902
1546	64410	18860
1547	64448	18818
1548	64495	18778
1549	64536	18736
1550	64576	18694
1551	64615	18652
1552	64655	18609
1553	64695	18567
1554	64738	18526
1555	64778	18484
1556	64818	18442
1557	64858	18400
1558	64899	18358
1559	64940	18316
1560	64979	18274
1561	65018	18231
1562	65058	18189
1563	65097	18147
1564	65137	18105
1565	65177	18063
1566	65217	18021
1567	65259	17979
1568	65326	17944
1569	65367	17903
1570	65432	17867
1571	65486	17829
1572	65527	17787
1573	65565	17745
1574	65617	17706
1575	65655	17663
1576	65697	17622
1577	65738	17580
1578	65778	17538
1579	65817	17495
1580	65858	17453
1581	65899	17412
1582	65939	17370
1583	65979	17328
1584	66019	17285
1585	66060	17243
1586	66100	17202
1587	66140	17159
1588	66179	17117
1589	66230	17078
1590	66271	17036
1591	66313	16994
1592	66356	16953
1593	66397	16911
1594	66443	16871
1595	66490	16830
1596	66533	16789
1597	66575	16747
1598	66616	16706
1599	66662	16665
1600	66701	16623
1601	66741	16581
1602	66782	16539
1603	66820	16496
1604	66873	16457
1605	66913	16415
1606	66951	16373
1607	66990	16331
1608	67029	16288
1609	67069	16246
1610	67109	16204
1611	67149	16162
1612	67193	16121
1613	67234	16079
1614	67277	16038
1615	67317	15996
1616	67358	15954
1617	67403	15913
1618	67445	15871
1619	67489	15830
1620	67529	15788
1621	67570	15746
1622	67609	15704
1623	67655	15664
1624	67697	15622
1625	67746	15582
1626	67795	15542
1627	67842	15502
1628	67886	15460
1629	67927	15419
1630	67968	15377
1631	68015	15336
1632	68071	15298
1633	68122	15258
1634	68163	15216
1635	68204	15175
1636	68249	15134
1637	68294	15093
1638	68341	15052
1639	68386	15011
1640	68429	14970
1641	68477	14929
1642	68529	14890
1643	68571	14848
1644	68613	14807
1645	68656	14765
1646	68703	14725
1647	68746	14683
1648	68788	14641
1649	68831	14600
1650	68874	14559
1651	68915	14517
1652	68957	14475
1653	68998	14433
1654	69039	14391
1655	69080	14350
1656	69123	14308
1657	69165	14266
1658	69216	14227
